ID_PRC;ID_LOGRADOURO;TIPO_LOGRADOURO;NOME_LOGRADOURO;GEOMETRIA
237;300102;PRACA;GERALDO PIRES DE MIRANDA;POLYGON ((614200.96 7803453.73, 614223.08 7803475.37, 614211.46 7803497.70, 614211.33 7803497.61, 614210.34 7803496.91, 614199.26 7803454.73, 614200.96 7803453.73))
238;77110;PRACA;DOIS MIL CENTO E SESSENTA E OITO;POLYGON ((614943.43 7803849.71, 614950.88 7803839.09, 614953.90 7803841.79, 614957.43 7803845.13, 614960.46 7803848.29, 614963.63 7803852.13, 614967.26 7803857.02, 614970.76 7803861.93, 614974.63 7803867.34, 614985.89 7803882.98, 614985.23 7803883.66, 614984.94 7803883.51, 614979.55 7803882.86, 614975.53 7803881.70, 614972.08 7803880.39, 614969.46 7803879.04, 614968.19 7803878.26, 614965.78 7803876.52, 614963.52 7803874.55, 614961.49 7803872.36, 614959.58 7803870.01, 614954.07 7803862.59, 614949.53 7803857.43, 614945.77 7803854.16, 614944.07 7803852.92, 614943.31 7803852.04, 614943.05 7803850.91, 614943.43 7803849.71))
239;302859;PRACA;SEM NOME;POLYGON ((613444.19 7803190.17, 613442.01 7803177.00, 613476.00 7803178.28, 613444.19 7803190.17))
240;68846;PRACA;DIVINA PASTORA;POLYGON ((614150.69 7804178.98, 614150.13 7804177.15, 614150.13 7804174.73, 614150.31 7804172.16, 614151.42 7804169.01, 614153.65 7804166.43, 614156.43 7804164.57, 614159.49 7804163.79, 614162.35 7804163.66, 614165.50 7804164.57, 614169.02 7804167.27, 614171.23 7804171.61, 614171.61 7804174.56, 614171.04 7804178.07, 614169.40 7804180.84, 614167.71 7804183.22, 614164.51 7804184.88, 614161.79 7804185.26, 614158.45 7804185.44, 614154.76 7804183.78, 614152.72 7804181.94, 614150.69 7804178.98))
241;24942;PRACA;TRES MIL E SESSENTA E DOIS;POLYGON ((612824.62 7804476.14, 612830.43 7804469.66, 612833.07 7804465.82, 612833.59 7804464.86, 612835.74 7804460.32, 612836.51 7804459.86, 612837.33 7804460.68, 612840.87 7804472.17, 612843.66 7804480.48, 612842.00 7804481.83, 612839.35 7804482.76, 612821.17 7804481.94, 612820.16 7804481.61, 612820.01 7804480.75, 612820.98 7804479.69, 612824.62 7804476.14))
242;302124;PRACA;MARECHAL ZENOBIO DA COSTA;POLYGON ((603035.79 7800315.12, 603034.73 7800315.07, 603033.87 7800314.69, 603029.08 7800300.29, 603030.23 7800298.95, 603077.82 7800290.31, 603078.68 7800299.04, 603035.79 7800315.12))
1;79689;PRACA;SANTO ANTONIO;POLYGON ((609315.05 7808508.47, 609313.99 7808509.05, 609313.05 7808509.24, 609312.96 7808508.22, 609312.96 7808508.16, 609312.97 7808508.11, 609312.97 7808508.05, 609312.97 7808508.00, 609312.98 7808507.94, 609312.98 7808507.89, 609312.98 7808507.83, 609312.98 7808507.78, 609313.00 7808507.72, 609313.00 7808507.67, 609313.00 7808507.62, 609313.00 7808507.56, 609313.00 7808507.51, 609313.00 7808507.45, 609313.00 7808507.40, 609313.00 7808507.34, 609313.00 7808507.29, 609313.00 7808507.23, 609313.01 7808507.18, 609318.03 7808494.09, 609320.62 7808488.33, 609322.73 7808484.97, 609335.10 7808469.90, 609355.74 7808454.07, 609365.61 7808443.71, 609374.16 7808427.97, 609375.40 7808426.34, 609377.90 7808424.71, 609426.64 7808433.44, 609426.64 7808434.21, 609426.35 7808435.46, 609426.16 7808436.13, 609425.68 7808436.90, 609385.48 7808463.67, 609367.35 7808472.59, 609334.72 7808494.09, 609315.05 7808508.47))
3;3396;PRACA;AMINTAS DE BARROS;POLYGON ((608938.72 7808674.83, 608943.62 7808673.57, 608948.55 7808672.41, 608952.18 7808671.61, 608955.83 7808670.90, 608959.59 7808670.23, 608962.73 7808669.55, 608965.23 7808668.95, 608966.52 7808668.67, 608969.55 7808668.15, 608971.76 7808667.84, 608973.22 7808667.62, 608974.71 7808667.36, 608976.27 7808667.16, 608977.64 7808667.03, 608978.91 7808666.91, 608979.81 7808667.14, 608980.55 7808668.31, 608980.38 7808668.83, 608980.08 7808669.64, 608979.76 7808670.09, 608979.40 7808670.47, 608978.97 7808671.01, 608978.09 7808671.82, 608976.97 7808672.64, 608976.05 7808673.27, 608974.95 7808673.84, 608973.11 7808674.89, 608912.13 7808701.82, 608910.89 7808702.35, 608909.54 7808702.90, 608908.64 7808703.33, 608906.95 7808704.05, 608905.77 7808704.59, 608904.77 7808704.76, 608903.23 7808704.49, 608882.45 7808699.58, 608881.18 7808699.26, 608879.80 7808698.99, 608878.49 7808698.71, 608877.45 7808698.46, 608876.72 7808698.14, 608875.96 7808697.88, 608875.44 7808697.48, 608874.97 7808697.03, 608874.51 7808696.30, 608874.20 7808695.49, 608874.11 7808694.83, 608874.13 7808694.16, 608874.32 7808693.27, 608874.69 7808692.42, 608875.70 7808691.61, 608877.05 7808691.14, 608938.72 7808674.83))
4;21869;PRACA;DA PAZ CELESTIAL;POLYGON ((604636.47 7809340.36, 604668.59 7809278.56, 604672.61 7809280.56, 604746.08 7809318.61, 604761.00 7809327.02, 604768.28 7809317.85, 604786.00 7809333.79, 604795.76 7809344.75, 604783.04 7809355.30, 604748.21 7809383.32, 604742.76 7809385.77, 604737.27 7809387.56, 604732.52 7809387.55, 604672.48 7809358.29, 604636.47 7809340.36))
5;105785;PRACA;CELIA DUTRA LEMOS;POLYGON ((606156.91 7810300.32, 606157.09 7810300.29, 606157.30 7810300.25, 606157.49 7810300.21, 606157.69 7810300.18, 606157.90 7810300.14, 606158.08 7810300.10, 606158.28 7810300.06, 606158.48 7810300.02, 606158.67 7810299.98, 606158.85 7810299.93, 606159.06 7810299.89, 606159.25 7810299.86, 606159.45 7810299.81, 606159.62 7810299.77, 606159.83 7810299.72, 606160.03 7810299.67, 606160.22 7810299.61, 606160.42 7810299.56, 606160.62 7810299.52, 606160.80 7810299.46, 606161.00 7810299.40, 606161.20 7810299.36, 606161.39 7810299.30, 606161.58 7810299.24, 606161.77 7810299.20, 606161.98 7810299.16, 606162.16 7810299.10, 606162.35 7810299.04, 606162.55 7810298.98, 606162.76 7810298.93, 606162.94 7810298.87, 606163.13 7810298.81, 606163.33 7810298.75, 606167.00 7810297.67, 606171.67 7810296.34, 606171.92 7810296.27, 606172.17 7810296.21, 606172.42 7810296.12, 606172.66 7810296.07, 606172.89 7810295.99, 606173.15 7810295.91, 606173.39 7810295.83, 606173.63 7810295.76, 606173.89 7810295.68, 606174.12 7810295.60, 606174.36 7810295.51, 606174.61 7810295.45, 606174.86 7810295.36, 606175.10 7810295.29, 606175.34 7810295.20, 606175.58 7810295.11, 606175.81 7810295.02, 606176.06 7810294.93, 606176.29 7810294.85, 606176.50 7810294.77, 606176.73 7810294.68, 606176.95 7810294.60, 606177.17 7810294.52, 606177.40 7810294.43, 606177.61 7810294.33, 606177.83 7810294.25, 606178.05 7810294.16, 606178.27 7810294.08, 606178.49 7810293.98, 606178.72 7810293.90, 606178.93 7810293.80, 606179.14 7810293.71, 606179.37 7810293.61, 606179.57 7810293.53, 606179.79 7810293.44, 606180.01 7810293.35, 606180.23 7810293.25, 606180.45 7810293.16, 606185.83 7810291.49, 606201.82 7810285.87, 606203.57 7810287.98, 606150.72 7810330.49, 606150.29 7810330.90, 606149.97 7810331.17, 606149.50 7810331.50, 606149.13 7810331.68, 606148.68 7810331.82, 606148.27 7810331.89, 606147.85 7810331.94, 606147.43 7810331.94, 606147.01 7810331.87, 606146.77 7810331.80, 606146.54 7810331.63, 606124.75 7810305.85, 606124.65 7810305.21, 606124.68 7810304.57, 606124.79 7810304.05, 606125.00 7810303.58, 606125.38 7810303.20, 606125.84 7810302.91, 606126.65 7810302.63, 606127.50 7810302.47, 606129.15 7810302.36, 606130.79 7810302.32, 606133.19 7810302.37, 606133.32 7810302.38, 606133.45 7810302.38, 606133.57 7810302.39, 606133.70 7810302.40, 606133.82 7810302.41, 606133.95 7810302.41, 606134.08 7810302.41, 606134.20 7810302.42, 606134.33 7810302.42, 606134.46 7810302.42, 606134.58 7810302.42, 606134.71 7810302.42, 606134.83 7810302.42, 606134.97 7810302.42, 606135.08 7810302.42, 606135.21 7810302.42, 606135.34 7810302.42, 606135.47 7810302.42, 606135.59 7810302.42, 606135.79 7810302.41, 606135.98 7810302.40, 606136.16 7810302.40, 606136.34 7810302.39, 606136.53 7810302.38, 606136.71 7810302.37, 606136.91 7810302.36, 606137.09 7810302.35, 606137.28 7810302.34, 606137.47 7810302.32, 606137.65 7810302.31, 606137.84 7810302.31, 606138.03 7810302.30, 606138.22 7810302.28, 606138.40 7810302.27, 606138.59 7810302.26, 606138.78 7810302.25, 606138.97 7810302.23, 606139.15 7810302.21, 606142.70 7810301.87, 606147.42 7810301.41, 606152.14 7810300.91, 606155.91 7810300.45, 606156.13 7810300.43, 606156.31 7810300.40, 606156.51 7810300.36, 606156.71 7810300.35, 606156.91 7810300.32))
1223;306185;PRACA;ANTONIO ALCIDES DA SILVA;POLYGON ((611828.26 7803187.02, 611860.60 7803172.75, 611862.49 7803171.54, 611864.68 7803172.69, 611867.80 7803175.33, 611869.52 7803178.25, 611868.05 7803181.24, 611865.99 7803185.82, 611856.24 7803198.55, 611844.09 7803213.68, 611828.26 7803187.02))
243;74975;PRACA;DOS AGRICULTORES;POLYGON ((604099.80 7800753.03, 604149.98 7800737.70, 604175.25 7800728.24, 604198.72 7800717.18, 604114.28 7800794.05, 604111.64 7800793.72, 604099.80 7800753.03))
244;303091;PRACA;MANOEL DE SOUZA BARROS;POLYGON ((604749.25 7801929.62, 604760.15 7801944.73, 604767.55 7801955.76, 604768.58 7801958.85, 604768.50 7801960.67, 604768.04 7801961.81, 604767.06 7801963.11, 604766.22 7801964.24, 604765.24 7801964.47, 604764.48 7801965.23, 604763.11 7801965.38, 604761.59 7801965.16, 604758.40 7801963.64, 604752.25 7801959.99, 604738.74 7801954.45, 604726.35 7801948.90, 604749.25 7801929.62))
245;304561;PRACA;IRIS TEIXEIRA DE FREITAS;POLYGON ((607966.82 7800028.60, 607969.29 7800014.25, 607969.29 7800010.63, 607969.16 7800006.08, 607969.02 7800004.87, 607967.55 7800003.67, 607963.27 7800001.12, 607966.21 7799992.69, 607966.35 7799989.74, 607962.07 7799958.38, 607968.86 7799957.23, 607968.47 7799955.84, 607988.58 7799949.75, 607985.08 7799953.73, 607981.66 7799957.66, 607978.52 7799964.87, 607977.91 7799970.89, 607980.17 7799980.46, 607991.32 7800027.21, 607966.82 7800028.60))
